Month,Day,Week day,Hour,Dry-Bulb Temp (°C),Heating Load (kW),Chiller Output (kW),Chiller Input (kW),Total Building Electric [kW],Precool Coil Load (kW),Preheat Coil Load (kW),Terminal Cooling Coil Load (kW),Terminal Heating Coil Load (kW),Ventilation Fan (kW),Exhaust Fan (kW),Terminal Fan (kW),Vent. Reclaim Device (kW),Lighting (kW),Electric Equipment (kW)
Jan,1,Sunday,0,-4.3,222.6,0,0,55.2,0,0,0,222.5,0,0,3.1,0,15.3,27.6
Jan,1,Sunday,1,-4.1,224.1,0,0,55.2,0,0,0,224.1,0,0,3.2,0,15.3,27.6
Jan,1,Sunday,2,-4,225.4,0,0,55.3,0,0,0,225.4,0,0,3.2,0,15.3,27.6
Jan,1,Sunday,3,-3.8,225.5,0,0,55.3,0,0,0,225.6,0,0,3.2,0,15.3,27.6
Jan,1,Sunday,4,-3.5,225,0,0,55.3,0,0,0,225.1,0,0,3.2,0,15.3,27.6
Jan,1,Sunday,5,-3.3,224.7,0,0,55.2,0,0,0,224.8,0,0,3.2,0,15.3,27.6
Jan,1,Sunday,6,-3,223,0,0,55.2,0,0,0,222.9,0,0,3.2,0,15.3,27.6
Jan,1,Sunday,7,-2.9,223.1,0,0,55.2,0,0,0,223.2,0,0,3.2,0,15.3,27.6
Jan,1,Sunday,8,-2.8,217.5,0,0,55.4,0,0,0,217.4,0,0,3.1,0,15.8,28.5
Jan,1,Sunday,9,-2.7,212,0,0,54.1,0,0,0,212.1,0,0,3,0,15.8,28.5
Jan,1,Sunday,10,-2.2,198.9,0,0,66.5,0,0,0,199,0,0,3,0.1,19.1,34.5
Jan,1,Sunday,11,-1.8,196.3,0,0,66.5,0,0,0,196.2,0,0,2.8,0.1,19.1,34.5
Jan,1,Sunday,12,-1.3,208.9,0,0,1004.5,0,0,0,209,0,0,3.1,0.1,21.3,38.6
Jan,1,Sunday,13,-1,213.1,0,0,274.5,0,0,0,213.1,0,0,3.1,0.1,21.3,38.6
Jan,1,Sunday,14,-0.7,219,0,0,76.5,0,0,0,219.2,0,0,3.1,0.1,21.3,38.6
Jan,1,Sunday,15,-0.4,222.1,0,0,384.3,0,0,0,222.2,0,0,3.2,0.1,21.3,38.6
Jan,1,Sunday,16,-0.4,226.9,0,0,79.7,0,0,0,226.8,0,0,3.3,0.1,21.3,38.6
Jan,1,Sunday,17,-0.3,232.5,0,0,72.9,0,0,0,232.6,0,0,3.5,0.1,19.1,34.5
Jan,1,Sunday,18,-0.3,240.1,0,0,62.1,0,0,0,240.3,0,0,3.5,0,16.9,30.5
Jan,1,Sunday,19,0.2,239.9,0,0,55.5,0,0,0,239.8,0,0,3.5,0,15.3,27.6
