Month,Day,Week day,Hour,Dry-Bulb Temp (°C),Heating Load (kW),Chiller Output (kW),Chiller Input (kW),Total Building Electric [kW]
Jan,1,Sunday,0,-1.6,208.8,0,0,55
Jan,1,Sunday,1,-2.5,217.9,0,0,55.1
Jan,1,Sunday,2,-3.2,225.5,0,0,55.2
Jan,1,Sunday,3,-3.8,231.7,0,0,55.3
Jan,1,Sunday,4,-4.1,238.4,0,0,55.4
Jan,1,Sunday,5,-4.2,241.3,0,0,55.5
Jan,1,Sunday,6,-4.4,243.6,0,0,55.5
Jan,1,Sunday,7,-4.8,274.4,0,0,55.9
Jan,1,Sunday,8,-4,268.5,0,0,56.1
Jan,1,Sunday,9,-3,257.8,0,0,54.8
Jan,1,Sunday,10,-2.8,247.3,0,0,67.2
Jan,1,Sunday,11,-2,237,0,0,67
Jan,1,Sunday,12,-1.5,230.9,0,0,1004.8
Jan,1,Sunday,13,-1,229.9,0,0,274.8
Jan,1,Sunday,14,-1,237.7,0,0,76.7
Jan,1,Sunday,15,-1,243.9,0,0,384.5
Jan,1,Sunday,16,-0.8,245,0,0,80
Jan,1,Sunday,17,0,241.1,0,0,73
Jan,1,Sunday,18,0,247.8,0,0,62.2
Jan,1,Sunday,19,0,252.6,0,0,55.6
Jan,1,Sunday,20,0,255.1,0,0,55.7
Jan,1,Sunday,21,1,245.2,0,0,55.5
Jan,1,Sunday,22,0.5,253.1,0,0,55.6
Jan,1,Sunday,23,1,248.8,0,0,55.6
Jan,2,Monday,0,1,250.3,0,0,55.6
Jan,2,Monday,1,1.2,248.9,0,0,55.6
Jan,2,Monday,2,2,240.7,0,0,55.4
Jan,2,Monday,3,2,243.6,0,0,55.5
Jan,2,Monday,4,2.2,241.8,0,0,55.5
Jan,2,Monday,5,2,218,0,0,97
Jan,2,Monday,6,-5,1133.9,0,0,286.7
Jan,2,Monday,7,2.8,669.4,0,0,490.5
Jan,2,Monday,8,3,377.3,0,0,1004.6
Jan,2,Monday,9,3,345.7,0,0,1021.3
Jan,2,Monday,10,3.8,316.6,0,0,1021.2
Jan,2,Monday,11,4,313.3,0,0,1021.4
Jan,2,Monday,12,4,338.2,0,0,1866.6
Jan,2,Monday,13,3.7,332.4,0,0,1220.2
Jan,2,Monday,14,4,330.3,0,0,1022.4
Jan,2,Monday,15,3,362.3,0,0,1329.3
Jan,2,Monday,16,3.2,342.2,0,0,1024.9
Jan,2,Monday,17,3.1,380.5,0,0,691.6
Jan,2,Monday,18,3,398.3,0,0,508.6
Jan,2,Monday,19,3.3,387.2,0,0,508.8
Jan,2,Monday,20,4,390.5,0,0,421
Jan,2,Monday,21,4,388,0,0,402.5
Jan,2,Monday,22,4,11.9,0,0,119.3
Jan,2,Monday,23,4,13.2,0,0,77.4
Jan,3,Tuesday,0,4,15.6,0,0,77.5
Jan,3,Tuesday,1,4,19.7,0,0,77.5
Jan,3,Tuesday,2,4,26.6,0,0,77.6
Jan,3,Tuesday,3,4,34.4,0,0,77.7
Jan,3,Tuesday,4,4.5,40.7,0,0,78.3
Jan,3,Tuesday,5,5,35.4,0,0,121
Jan,3,Tuesday,6,5,480.3,0,0,313.3
Jan,3,Tuesday,7,5.1,406.7,0,0,493.1
Jan,3,Tuesday,8,5,325.7,0,0,1007.3
Jan,3,Tuesday,9,5,217.3,0,0,1024
Jan,3,Tuesday,10,5.2,198.3,0,0,1023.9
Jan,3,Tuesday,11,5,197.6,0,0,1023.3
Jan,3,Tuesday,12,5,225.2,0,0,1868.4
Jan,3,Tuesday,13,4.6,204.5,0,0,1221.5
Jan,3,Tuesday,14,5,195.8,0,0,1024.2
Jan,3,Tuesday,15,4,218.7,0,0,1330.3
Jan,3,Tuesday,16,3,220.7,0,0,1024.9
Jan,3,Tuesday,17,2,309.1,0,0,691.3
Jan,3,Tuesday,18,1,434,0,0,508
Jan,3,Tuesday,19,1.2,407.4,0,0,508.1
Jan,3,Tuesday,20,3,404.8,0,0,420.5
Jan,3,Tuesday,21,3,408.9,0,0,401.9
Jan,3,Tuesday,22,3.7,9.6,0,0,119.1
Jan,3,Tuesday,23,4,11.7,0,0,77.4
Jan,4,Wednesday,0,3,13.4,0,0,76.8
Jan,4,Wednesday,1,3.3,14,0,0,77
Jan,4,Wednesday,2,3,15.9,0,0,76.8
Jan,4,Wednesday,3,3,18.3,0,0,76.9
Jan,4,Wednesday,4,3.2,21.3,0,0,77
Jan,4,Wednesday,5,3,22.3,0,0,118.8
Jan,4,Wednesday,6,2,513.5,0,0,311
Jan,4,Wednesday,7,1.9,462.7,0,0,490.4
Jan,4,Wednesday,8,2,243.7,0,0,1004.6
Jan,4,Wednesday,9,3,209.8,0,0,1021.7
Jan,4,Wednesday,10,3.6,192.3,0,0,1021.7
Jan,4,Wednesday,11,5,196.2,0,0,1024.9
Jan,4,Wednesday,12,4,235.1,0,0,1866.9
Jan,4,Wednesday,13,5,187.8,0,0,1224.7
Jan,4,Wednesday,14,6,188.4,50.7,14.9,1031.8
Jan,4,Wednesday,15,5,190.6,50.8,14.8,1339.4
Jan,4,Wednesday,16,5.8,175.2,61.6,18.1,1038.1
Jan,4,Wednesday,17,5,247.1,0,0,694.1
Jan,4,Wednesday,18,4,288.1,0,0,509.5
Jan,4,Wednesday,19,4.5,249.2,0,0,510.1
Jan,4,Wednesday,20,5,298.2,0,0,422.7
Jan,4,Wednesday,21,5,274.5,0,0,404.1
Jan,4,Wednesday,22,4.8,6.1,0,0,120.3
Jan,4,Wednesday,23,5,6.9,0,0,78.8
Jan,5,Thursday,0,4,8.2,0,0,77.4
Jan,5,Thursday,1,4,11,0,0,77.4
Jan,5,Thursday,2,4,11.9,0,0,77.4
Jan,5,Thursday,3,4,12.7,0,0,77.4
Jan,5,Thursday,4,3.9,14.3,0,0,77.4
Jan,5,Thursday,5,3,16.1,0,0,118.7
Jan,5,Thursday,6,3,444.5,0,0,311.4
Jan,5,Thursday,7,2.9,313.7,0,0,490.8
Jan,5,Thursday,8,3,230.9,0,0,1005.1
Jan,5,Thursday,9,3,221.3,0,0,1022.3
Jan,5,Thursday,10,3.1,207,0,0,1021.9
Jan,5,Thursday,11,4,187.8,0,0,1023.5
Jan,5,Thursday,12,4,184.2,0,0,1867.4
Jan,5,Thursday,13,4,174,0,0,1223.1
Jan,5,Thursday,14,4,174.2,0,0,1025.4
Jan,5,Thursday,15,4,173.2,0,0,1333.7
Jan,5,Thursday,16,2.9,180.1,0,0,1027.6
Jan,5,Thursday,17,2,258,0,0,691.3
Jan,5,Thursday,18,2,314.5,0,0,508.3
Jan,5,Thursday,19,1.2,314.9,0,0,508.1
Jan,5,Thursday,20,1,326.2,0,0,419.8
Jan,5,Thursday,21,1,387.9,0,0,401.2
Jan,5,Thursday,22,0.5,9.9,0,0,118
Jan,5,Thursday,23,0,12.8,0,0,76
Jan,6,Friday,0,-1,15,0,0,75.9
Jan,6,Friday,1,0.6,14.5,0,0,76.1
